序号,原始地址,归一化地址,规范地址,大區,地區,地區(上级),街道,屋苑,期,座,未识别片段,解析置信度,是否bad case,最高严重度,命中规则数,命中规则,问题描述,建议处理,重复组
18,慶盛閣，穗禾苑，穗禾路，沙田，新界,"慶盛閣,穗禾苑,穗禾路,沙田,新界","慶盛閣,穗禾苑,穗禾路,沙田,新界",新界,沙田,,穗禾路,穗禾苑,,慶盛閣,,高,是,一般,2,F001;D001,[D001·一般]与其他记录原文完全重复(与第 17 条重复) [F001·轻微]使用全角标点分隔,"去重, 保留一条; 统一替换为半角逗号",R17
19,"第1座,名城1期,美田路,大圍,沙田,新界","第1座,名城1期,美田路,大圍,沙田,新界","第1座,1期,名城,美田路,大圍,沙田,新界",新界,大圍,沙田,美田路,名城,1期,第1座,,高,否,-,0,-,无问题,-,-
20,"第2座,名城1期,美田路,大圍,沙田,新界","第2座,名城1期,美田路,大圍,沙田,新界","第2座,1期,名城,美田路,大圍,沙田,新界",新界,大圍,沙田,美田路,名城,1期,第2座,,高,否,-,0,-,无问题,-,-
21,"第3座,名城1期,美田路,大圍,沙田,新界","第3座,名城1期,美田路,大圍,沙田,新界","第3座,1期,名城,美田路,大圍,沙田,新界",新界,大圍,沙田,美田路,名城,1期,第3座,,高,否,-,0,-,无问题,-,-
22,"第5座,名城1期,美田路,大圍,沙田,新界","第5座,名城1期,美田路,大圍,沙田,新界","第5座,1期,名城,美田路,大圍,沙田,新界",新界,大圍,沙田,美田路,名城,1期,第5座,,高,否,-,0,-,无问题,-,-
23,"華園樓,竹園南邨,竹園道,竹園,九龍 ","華園樓,竹園南邨,竹園道,竹園,九龍","華園樓,竹園南邨,竹園道,竹園,九龍",九龍,竹園,,竹園道,竹園南邨,,華園樓,,高,否,轻微,1,F002,[F002·轻微]首尾存在多余空白,trim 后入库,-
24,藍田鯉安苑鯉景閣e座,藍田鯉安苑鯉景閣E座,"鯉景閣E座,鯉安苑,藍田",,藍田,,,鯉安苑,,鯉景閣E座,,低,是,一般,5,F003;F006;C001;C004;A005,"[C001·一般]缺少大區(九龍/新界/港島)(地區「藍田」已知, 大區可反查补全) [C004·一般]缺少街道 [A005·一般]结构解析置信度低 [F003·轻微]座号英文字母小写 [F006·轻微]无分隔符连写, 依赖模糊切分","补全大區; 地區已知时可反查补全; 补全街道, 便于地图匹配; 补分隔符后重跑解析; 统一大写, 如 e座 -> E座; 按 座,屋苑,街道,地區,大區 补分隔符",-
25,日出康城XIIB期 2B座,日出康城XIIB期 2B座,"2B座,XIIB期,日出康城",,,,,日出康城,XIIB期,2B座,,低,是,严重,6,F006;F007;C001;C002;C004;A005,"[C001·严重]缺少大區(九龍/新界/港島) [C002·严重]缺少地區 [C004·一般]缺少街道 [A005·一般]结构解析置信度低 [F006·轻微]无分隔符连写, 依赖模糊切分 [F007·轻微]期数使用罗马数字(XIIB期 -> 12B期)","补全大區; 地區已知时可反查补全; 补全地區; 补全街道, 便于地图匹配; 补分隔符后重跑解析; 按 座,屋苑,街道,地區,大區 补分隔符; 转写为阿拉伯数字, 如 XIIB期 -> 12B期",-
26,"定志閣,兆安苑,屯興路,屯門,新界","定志閣,兆安苑,屯興路,屯門,新界","定志閣,兆安苑,屯興路,屯門,新界",新界,屯門,,屯興路,兆安苑,,定志閣,,高,否,-,0,-,无问题,-,-
27,"第七座,順利紀律部隊宿舍,利安道,牛頭角,九龍樓層","第七座,順利紀律部隊宿舍,利安道,牛頭角,九龍樓層","第七座,順利紀律部隊宿舍,利安道,牛頭角,九龍",九龍,牛頭角,,利安道,順利紀律部隊宿舍,,第七座,,高,是,严重,1,A001,[A001·严重]尾部粘连了表单字段名等噪声内容(「九龍樓層」中的「樓層」为无效内容),剔除噪声 token 后重新入库,-
28,"B座,觀龍樓第2期,龍華街,堅尼地城,港島","B座,觀龍樓第2期,龍華街,堅尼地城,港島","B座,第2期,觀龍樓,龍華街,堅尼地城,港島",港島,堅尼地城,,龍華街,觀龍樓,第2期,B座,,高,否,-,0,-,无问题,-,-
29,"第三十座,華翠園,穗禾路,沙田,新界","第三十座,華翠園,穗禾路,沙田,新界","第三十座,華翠園,穗禾路,沙田,新界",新界,沙田,,穗禾路,華翠園,,第三十座,,高,是,一般,1,A003,"[A003·一般]座号数值偏大, 疑似超出该屋苑实际座数(座号=30)",对照屋苑座数表核实,-
30,"第十七座,珀麗灣,珀麗路,馬灣,新界","第十七座,珀麗灣,珀麗路,馬灣,新界","第十七座,珀麗灣,珀麗路,馬灣,新界",新界,馬灣,,珀麗路,珀麗灣,,第十七座,,高,否,-,0,-,无问题,-,-
31,"啟悅閣,啟翔苑,彩虹道,新蒲崗,九龍","啟悅閣,啟翔苑,彩虹道,新蒲崗,九龍","啟悅閣,啟翔苑,彩虹道,新蒲崗,九龍",九龍,新蒲崗,,彩虹道,啟翔苑,,啟悅閣,,高,否,-,0,-,无问题,-,-
